,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3740121886712504,,Intercept,312.69041707715905,313.0,0.3095829228409457,313.0
1,1,grade:A,1.1236705012735988,3.22199615714733e-35,grade,86.69378654752205,87.0,0.30621345247794807,87.0
2,2,grade:B,0.8789131673825505,4.283716696400768e-47,grade,67.81019030089905,68.0,0.18980969910094814,68.0
3,3,grade:C,0.6847918854613773,6.718935314836381e-34,grade,52.833282960062945,53.0,0.16671703993705478,53.0
4,4,grade:D,0.49692215191992967,1.3471822699529789e-20,grade,38.3386970828669,38.0,-0.3386970828669007,38.0
5,5,grade:E,0.3214902237938818,1.0257216768865083e-11,grade,24.803716754254832,25.0,0.19628324574516753,25.0
6,6,grade:F,0.13428421546014158,0.006241709914448214,grade,10.360338816946838,10.0,-0.3603388169468378,10.0
7,7,home_ownership:OWN,0.09351806357307517,3.4591915755697875e-06,home_ownership,7.215135604745865,7.0,-0.21513560474586502,7.0
8,8,home_ownership:MORTGAGE,0.10624682895107859,4.426784680180195e-17,home_ownership,8.1971893895906,8.0,-0.19718938959059962,8.0
9,9,addr_state:NM_VA,0.036017249563607204,0.2608700470637014,addr_state,2.7788143785541224,3.0,0.2211856214458776,3.0
10,10,addr_state:NY,0.05555656245390429,0.021829775334970294,addr_state,4.286317707222721,4.0,-0.28631770722272076,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057995112987558814,0.012259661556201338,addr_state,4.4744575393268615,4.0,-0.4744575393268615,4.0
12,12,addr_state:CA,0.06214930062723801,0.0033760065050805824,addr_state,4.794962755139244,5.0,0.20503724486075559,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645725962136798,0.002149228077163037,addr_state,5.898854991841985,6.0,0.10114500815801541,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1334409011644797,3.150025267944985e-09,addr_state,10.295275162203101,10.0,-0.2952751622031009,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.0978944273353522,0.0010332024401674168,addr_state,7.552782223955971,8.0,0.44721777604402924,8.0
16,16,addr_state:GA_WA_OR,0.1837619949681632,5.5736692253036665e-12,addr_state,14.177664314636814,14.0,-0.17766431463681442,14.0
17,17,addr_state:WI_MT,0.23789706427676818,5.636729991166779e-07,addr_state,18.35431052725532,18.0,-0.3543105272553184,18.0
18,18,addr_state:TX,0.22095787526616578,1.837490693022957e-17,addr_state,17.04741278925398,17.0,-0.04741278925397907,17.0
19,19,addr_state:IL_CT,0.25989956657450985,5.677265615798216e-19,addr_state,20.051854634313205,20.0,-0.05185463431320514,20.0
